Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Vehicle_Type,multiple_deliveries,Festival,City,Time_taken,Delivery_distance
SURRES08DEL03 ,31,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50:00,23:05:00,Cloudy,Low ,2,Snack ,motorcycle ,0,No ,Metropolitian ,16,0.08485281374238891
COIMBRES07DEL03 ,24,4.7,10.96185,76.971082,11.05185,77.061082,10-03-2022,17:55:00,18:00:00,Sunny,Medium ,0,Buffet ,motorcycle ,0,No ,Urban ,19,0.12727922061358088
AGRRES12DEL03 ,39,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45:00,23:00:00,Sunny,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,27,0.12727922061358088
VADRES02DEL02 ,39,4.2,0.0,0.0,0.08,0.08,02-03-2022,20:35:00,20:50:00,Fog,Jam ,2,Special Drinks,scooter ,1,No ,Semi-Urban ,49,0.1131370849898476
JAPRES14DEL01 ,32,4.5,26.88842,75.800689,26.89842,75.810689,26-03-2022,09:25:00,09:40:00,Windy,Low ,2,Buffet ,scooter ,0,No ,Rural ,20,0.014142135623725625
VADRES04DEL03 ,36,4.7,0.0,0.0,0.06,0.06,13-03-2022,20:15:00,20:20:00,Cloudy,Jam ,1,Snack ,motorcycle ,1,No ,Metropolitian ,30,0.08485281374238571
JAPRES18DEL02 ,25,4.8,26.913987,75.752891,26.993987,75.832891,29-03-2022,22:25:00,22:35:00,Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Urban ,18,0.1131370849898477
MYSRES04DEL03 ,33,4.9,12.3085,76.665808,12.3385,76.695808,30-03-2022,21:55:00,22:00:00,Sunny,Jam ,2,Drinks ,scooter ,0,No ,Metropolitian ,22,0.0424264068711932
SURRES12DEL01 ,30,4.4,21.183434,72.814492,21.253434,72.884492,12-03-2022,22:40:00,22:55:00,Cloudy,Low ,2,Special Drinks,scooter ,1,No ,Metropolitian ,34,0.09899494936611203
MUMRES04DEL01 ,33,5.0,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50:00,23:55:00,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,24,0.15556349186103965
PUNERES02DEL01 ,36,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25:00,15:40:00,Fog,Medium ,2,Drinks ,scooter ,1,No ,Metropolitian ,17,0.05656854249491757
ALHRES07DEL02 ,21,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20:00,10:30:00,Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,14,0.028284271247468833
DEHRES19DEL02 ,39,4.9,30.372202,78.077151,30.422202,78.127151,15-02-2022,20:55:00,21:00:00,Stormy,Jam ,2,Meal ,motorcycle ,1,No ,Metropolitian ,30,0.07071067811865074
VADRES16DEL02 ,23,4.8,0.0,0.0,0.02,0.02,07-03-2022,10:40:00,10:50:00,Stormy,Low ,1,Meal ,scooter ,1,No ,Metropolitian ,15,0.0282842712474619
VADRES09DEL01 ,35,4.8,0.0,0.0,0.04,0.04,28-03-2022,15:55:00,16:05:00,Fog,Medium ,2,Buffet ,scooter ,1,No ,Urban ,16,0.0565685424949238
CHENRES12DEL03 ,39,4.6,12.972793,80.249982,13.062793,80.339982,16-03-2022,20:10:00,20:15:00,Cloudy,Jam ,1,Special Drinks,scooter ,1,No ,Metropolitian ,36,0.12727922061358088
SURRES11DEL01 ,22,4.7,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10:00,12:15:00,Sunny,High ,1,Buffet ,scooter ,1,No ,Urban ,18,0.05656854249493013
SURRES01DEL01 ,32,4.6,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30:00,15:45:00,Fog,Medium ,1,Meal ,scooter ,0,No ,Metropolitian ,17,0.056568542494920084
VADRES15DEL02 ,24,4.8,0.0,0.0,0.08,0.08,25-03-2022,22:10:00,22:15:00,Sandstorms,Low ,1,Buffet ,motorcycle ,1,No ,Urban ,15,0.1131370849898476
MYSRES14DEL02 ,29,4.7,0.0,0.0,0.02,0.02,09-03-2022,10:35:00,10:45:00,Fog,Low ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,17,0.0282842712474619
BANGRES13DEL01 ,40,3.0,12.935662,77.61413,12.975662,77.65413,11-03-2022,NaN ,15:30:00,Rainny,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,19,0.05656854249491757
HYDRES13DEL03 ,26,4.7,17.431477,78.40035,17.491477,78.46035,05-03-2022,23:50:00,00:05:00,Fog,Low ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,10,0.0848528137423864
BHPRES12DEL02 ,20,4.5,0.0,0.0,0.05,0.05,11-02-2022,21:10:00,21:25:00,Fog,Jam ,1,Drinks ,motorcycle ,1,No ,Metropolitian ,27,0.07071067811865477
CHENRES11DEL03 ,35,4.1,13.064181,80.236442,13.154181,80.326442,12-03-2022,20:25:00,20:40:00,Sandstorms,Jam ,1,Special Drinks,motorcycle ,2,No ,Metropolitian ,37,0.12727922061358088
BANGRES010DEL03 ,39,4.6,12.933298,77.614293,13.023298,77.704293,29-03-2022,20:50:00,21:00:00,Fog,Jam ,1,Special Drinks,scooter ,2,No ,Metropolitian ,44,0.12727922061358088
VADRES20DEL01 ,34,4.7,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35:00,12:45:00,Windy,High ,2,Drinks ,electric_scooter ,1,No ,Metropolitian ,28,0.056568542494920084
BANGRES11DEL01 ,27,4.7,12.934365,77.616155,13.044365,77.726155,10-03-2022,21:00:00,21:15:00,Cloudy,Jam ,2,Special Drinks,scooter ,1,No ,Metropolitian ,42,0.1555634918610409
DEHRES01DEL01 ,30,4.8,0.0,0.0,0.11,0.11,16-02-2022,23:40:00,23:55:00,Windy,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,25,0.15556349186104046
CHENRES02DEL01 ,25,4.4,13.086438,80.220672,13.196438,80.330672,27-03-2022,18:15:00,18:20:00,Cloudy,Medium ,2,Special Drinks,scooter ,1,No ,Metropolitian ,39,0.15556349186105095
MUMRES04DEL01 ,25,4.7,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20:00,18:25:00,Stormy,Medium ,0,Meal ,motorcycle ,0,No ,Urban ,20,0.15556349186103965
JAPRES03DEL02 ,30,5.0,26.913483,75.803139,26.933483,75.823139,24-03-2022,11:45:00,11:50:00,Stormy,High ,1,Special Drinks,motorcycle ,1,No ,Metropolitian ,31,0.028284271247458786
HYDRES04DEL03 ,24,4.6,17.411028,78.329645,17.471028,78.389645,09-03-2022,20:45:00,20:55:00,Stormy,Jam ,1,Buffet ,motorcycle ,0,No ,Metropolitian ,13,0.0848528137423864
PUNERES14DEL02 ,39,4.8,18.516216,73.842527,18.566216,73.892527,03-03-2022,21:55:00,22:10:00,Stormy,Jam ,1,Meal ,motorcycle ,4,No ,Metropolitian ,28,0.07071067811865325
GOARES04DEL01 ,25,4.8,15.5696,73.742294,15.6096,73.782294,15-02-2022,12:45:00,12:50:00,Windy,High ,1,Snack ,scooter ,1,No ,Urban ,19,0.05656854249491883
AURGRES08DEL02 ,37,4.6,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30:00,23:45:00,Fog,Low ,0,Special Drinks,motorcycle ,2,Yes ,Urban ,42,0.11313708498985524
BANGRES12DEL01 ,24,5.0,12.939496,77.625999,12.949496,77.635999,01-03-2022,10:50:00,10:55:00,Fog,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23,0.014142135623734417
HYDRES05DEL01 ,25,4.2,17.433809,78.386744,17.543809,78.496744,23-03-2022,21:25:00,21:40:00,Stormy,Jam ,0,Special Drinks,motorcycle ,1,No ,Metropolitian ,39,0.1555634918610497
RANCHIRES17DEL01 ,32,4.6,23.374878,85.335739,23.384878,85.345739,01-04-2022,10:10:00,10:20:00,Stormy,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,25,0.014142135623725625
AGRRES010DEL01 ,34,4.7,-27.163303,78.057044,27.233303,78.127044,16-02-2022,23:00:00,23:05:00,Sandstorms,Low ,1,Drinks ,scooter ,0,No ,Metropolitian ,15,54.39665103955606
INDORES12DEL02 ,38,4.9,22.74806,75.8934,22.76806,75.9134,11-03-2022,08:40:00,08:55:00,Cloudy,Low ,2,Drinks ,scooter ,1,No ,Urban ,15,0.028284271247458786
JAPRES15DEL03 ,36,4.8,26.891191,75.802083,26.981191,75.892083,14-03-2022,17:50:00,17:55:00,Sunny,Medium ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,15,0.12727922061358088
SURRES16DEL01 ,25,5.0,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25:00,20:40:00,Stormy,Jam ,1,Meal ,motorcycle ,4,No ,Metropolitian ,15,0.15556349186103965
MYSRES16DEL02 ,29,5.0,12.316967,76.603067,12.366967,76.653067,01-04-2022,22:20:00,22:25:00,Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,18,0.07071067811865325
MUMRES05DEL03 ,36,4.7,18.927584,72.832585,19.017584,72.922585,04-04-2022,23:40:00,23:50:00,Sandstorms,Low ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,29,0.12727922061358088
COIMBRES19DEL02 ,33,4.7,11.022298,76.998349,11.072298,77.048349,11-03-2022,23:25:00,23:30:00,Fog,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,20,0.07071067811865325
MYSRES07DEL01 ,36,4.4,12.325461,76.632278,12.365461,76.672278,13-03-2022,12:40:00,12:55:00,Cloudy,High ,2,Special Drinks,scooter ,1,No ,Metropolitian ,39,0.05656854249492762
PUNERES17DEL01 ,21,4.8,18.530963,73.828972,18.640963,73.938972,04-03-2022,23:30:00,23:45:00,Windy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,19,0.1555634918610497
HYDRES19DEL03 ,25,4.8,17.458998,78.500366,17.488998,78.530366,26-03-2022,23:55:00,00:10:00,Cloudy,Low ,1,Snack ,scooter ,1,No ,Urban ,19,0.042426406871191945
MUMRES14DEL02 ,23,4.8,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50:00,23:00:00,Windy,Low ,0,Meal ,motorcycle ,0,No ,Metropolitian ,17,0.18384776310849843
COIMBRES02DEL01 ,25,4.6,11.022477,76.995667,11.032477,77.005667,01-03-2022,10:25:00,10:40:00,Stormy,Low ,2,Snack ,motorcycle ,1,No ,Urban ,15,0.014142135623734417
INDORES05DEL02 ,24,4.3,22.727021,75.884167,22.747021,75.904167,15-03-2022,08:45:00,09:00:00,Sandstorms,Low ,0,Meal ,motorcycle ,0,No ,Urban ,19,0.028284271247458786
BANGRES03DEL03 ,27,4.6,12.979166,77.640709,13.069166,77.730709,04-03-2022,21:25:00,21:40:00,Sandstorms,Jam ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,29,0.12727922061358088
MUMRES11DEL01 ,23,4.8,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35:00,22:40:00,Cloudy,Low ,2,Snack ,scooter ,1,No ,Urban ,22,0.15556349186104218
MYSRES12DEL02 ,21,4.3,12.284747,76.625861,12.414747,76.755861,23-03-2022,20:10:00,20:20:00,Fog,Jam ,1,Special Drinks,scooter ,0,No ,Metropolitian ,42,0.1838477631084997
SURRES09DEL02 ,27,4.7,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55:00,11:10:00,Sandstorms,Low ,2,Snack ,scooter ,0,No ,Urban ,12,0.028284271247468833
COIMBRES12DEL02 ,32,4.2,11.000762,76.981876,11.130762,77.111876,08-03-2022,20:35:00,20:45:00,Cloudy,Jam ,1,Special Drinks,motorcycle ,1,No ,Metropolitian ,38,0.1838477631084997
SURRES08DEL01 ,25,4.6,21.173343,72.792731,21.283343,72.902731,10-03-2022,23:20:00,23:35:00,Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,23,0.15556349186103965
KNPRES05DEL02 ,39,4.7,26.479108,80.315042,26.499108,80.335042,11-02-2022,10:35:00,10:50:00,Cloudy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,15,0.028284271247458786
SURRES05DEL02 ,27,4.6,21.175104,72.804342,21.255104,72.884342,14-03-2022,23:45:00,23:50:00,Sunny,Low ,0,Snack ,motorcycle ,1,No ,Metropolitian ,24,0.11313708498984519
MUMRES15DEL01 ,39,3.8,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55:00,20:00:00,Windy,Jam ,1,Special Drinks,motorcycle ,0,No ,Metropolitian ,37,0.15556349186103965
BANGRES15DEL02 ,31,4.8,12.975377,77.696664,13.025377,77.746664,01-03-2022,22:15:00,22:25:00,Sandstorms,Low ,1,Snack ,scooter ,0,No ,Metropolitian ,24,0.07071067811865325
RANCHIRES11DEL03 ,31,4.8,23.359194,85.325447,23.419194,85.385447,01-03-2022,23:10:00,23:15:00,Sunny,Low ,2,Buffet ,electric_scooter ,0,No ,Metropolitian ,13,0.08485281374238891
MYSRES08DEL01 ,20,4.8,12.297954,76.665169,12.307954,76.675169,30-03-2022,09:15:00,09:30:00,Cloudy,Low ,0,Drinks ,motorcycle ,0,No ,Rural ,16,0.014142135623724367
RANCHIRES07DEL02 ,36,4.9,23.359407,85.325055,23.439407,85.405055,02-03-2022,18:25:00,18:35:00,Cloudy,Medium ,0,Special Drinks,motorcycle ,1,No ,Urban ,42,0.11313708498984519
RANCHIRES01DEL03 ,20,4.9,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10:00,22:20:00,Sandstorms,Low ,0,Meal ,motorcycle ,1,No ,Metropolitian ,17,0.12727922061358088
JAPRES17DEL03 ,24,4.6,26.892312,75.806896,26.922313,75.836896,03-04-2022,20:50:00,21:05:00,Cloudy,Jam ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,25,0.04242711398386632
VADRES06DEL01 ,40,3.0,22.31279,73.170283,22.42279,73.280283,02-04-2022,NaN ,18:25:00,Rainny,Low ,3,Snack ,electric_scooter ,0,No ,Metropolitian ,25,0.15556349186103965
INDORES14DEL01 ,39,4.2,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45:00,18:50:00,Fog,Medium ,1,Special Drinks,scooter ,0,No ,Metropolitian ,39,0.15556349186103965
COIMBRES17DEL01 ,37,4.8,11.026117,76.944652,11.066117,76.984652,17-03-2022,14:55:00,15:05:00,Sunny,High ,2,Meal ,scooter ,0,No ,Metropolitian ,18,0.05656854249491883
CHENRES11DEL01 ,32,4.9,13.064181,80.236442,13.104181,80.276442,17-03-2022,16:50:00,17:00:00,Sandstorms,Medium ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,28,0.056568542494928875
KNPRES17DEL02 ,22,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20:00,22:35:00,Sandstorms,Low ,1,Drinks ,scooter ,1,No ,Metropolitian ,18,0.07071067811866079
COIMBRES12DEL02 ,23,4.9,11.000762,76.981876,11.130762,77.111876,18-03-2022,00:00:00,00:15:00,Windy,Low ,1,Meal ,scooter ,0,No ,Metropolitian ,18,0.1838477631084997
RANCHIRES04DEL01 ,33,4.7,23.359033,85.325347,23.469033,85.435347,08-03-2022,21:10:00,21:20:00,Fog,Jam ,1,Special Drinks,scooter ,1,No ,Metropolitian ,49,0.15556349186103965
KOLRES17DEL03 ,23,3.0,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25:00,23:35:00,Sunny,Low ,0,Drinks ,motorcycle ,0,No ,Metropolitian ,15,0.042426406871191945
BANGRES19DEL02 ,27,4.6,12.914264,77.6784,12.994264,77.7584,31-03-2022,23:30:00,23:35:00,Sunny,Low ,0,Drinks ,motorcycle ,1,No ,Metropolitian ,21,0.11313708498984645
MUMRES17DEL01 ,34,4.7,19.121999,72.908493,19.161999,72.948493,01-03-2022,14:20:00,14:35:00,Sunny,High ,2,Snack ,scooter ,0,No ,Metropolitian ,23,0.056568542494920084
